baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT3G51680	1435.03427011647	-1.15585257471424	0.195308446287244	-5.91808801250871	3.25705673838266e-09	1.5182634872174e-05
AT3G55240	2121.97801342657	1.27270568662736	0.350204568419116	3.63417785316901	0.00027886845208422	0.0328344683113223
AT3G58480	92.2317446080636	-1.01629222591517	0.272038587692452	-3.73583848723739	0.000187090728508724	0.0265968593108176
AT3G63350	475.118630959434	-1.69458423644403	0.29457112575956	-5.7527167066171	8.78205832123155e-09	2.82463928329511e-05
AT2G03360	83.3994616306027	1.03411156780502	0.268098080356317	3.85721362283022	0.000114686925152907	0.0195431077556918
AT2G05520	163890.068005737	1.04045385158222	0.248608895777758	4.18510306450307	2.85036744259621e-05	0.00833440962107308
AT2G16005	853.624231935773	-2.22400838297541	0.62122636417499	-3.58002897370424	0.000343556111817873	0.0364277891493255
AT2G21820	92.0678565177914	-1.54855961642479	0.360223470054745	-4.29888595595796	1.71658767165821e-05	0.0057363009583685
AT2G23800	1941.77931132458	-1.11794181221646	0.281242179534441	-3.97501475087083	7.03748941600265e-05	0.0141748114013113
AT2G27120	60.8950231151344	-1.99012186122973	0.467799106457753	-4.2542233060239	2.09775876556871e-05	0.00662200738404655
AT2G28340	41.3723137703827	-1.86950362539214	0.507534452938434	-3.68350092209192	0.000230052451357989	0.0297334993262587
AT2G28680	51.1861209883105	-2.3330749140911	0.66927550024054	-3.48597089427685	0.00049035435363876	0.0462172449577983
AT2G36950	27096.96937863	-1.15431215750492	0.211037178488876	-5.46970996186704	4.50772632148154e-08	8.47376105996009e-05
AT2G40100	2285.92838241011	1.18729935167972	0.327318539608703	3.62735136573411	0.000286343511088415	0.0333389361258643
AT2G41260	46.034602694132	-5.26243094747279	1.41662488345207	-3.71476670284736	0.000203391254254238	0.0278375551234883
AT2G41445	1552.97528726714	-1.00084315620446	0.255400784424285	-3.91871606213162	8.90219085240476e-05	0.0165774636985009
AT2G41450	4788.47008653033	-1.3828079510439	0.271119184503384	-5.10036924748365	3.38991495132798e-07	0.000311521077187929
AT2G41451	570.546776991228	-1.31754695666765	0.338659825526879	-3.89047314548706	0.000100048949361918	0.0178318355585471
AT2G42540	264.057310868183	-1.68000750681405	0.4775176380669	-3.51821037148514	0.000434467789337709	0.0429972718748023
AT2G43050	1011.21320074312	1.53532929399469	0.396556918557886	3.87164924414395	0.000108101436041459	0.0186681748374683
AT2G43610	19422.1429792533	-1.00106986051687	0.253229920039775	-3.95320529406491	7.71112227647532e-05	0.0152626836381528
AT2G47770	388.526937175399	-1.35154400037624	0.300934544503681	-4.49115605057999	7.08376241694016e-06	0.00308936086017436
AT2G47780	281.377919446243	-1.32182957467389	0.295262628663812	-4.47679267998027	7.57727662002431e-06	0.00324951507849742
AT4G01780	59.1961602990189	-1.41214706982417	0.40225165663322	-3.51060597647655	0.000447086557470106	0.0436991215836037
AT4G05200	1045.44593428073	1.01161832230239	0.274648774178432	3.68331635678506	0.000230219155011993	0.0297334993262587
AT4G08040	207.934574631269	1.79720913801575	0.478969394405669	3.75224212445938	0.000175260073351165	0.0256228235647661
AT4G17470	664.380092371021	-1.60827993280491	0.404644801839195	-3.97454736968063	7.05132275996984e-05	0.0141748114013113
AT4G21323	772.284250911753	-1.13928318780342	0.226866621549297	-5.02181934047034	5.11843160120842e-07	0.000411569886033418
AT4G23590	1378.15475838215	-1.20712131198688	0.322783017134771	-3.73972993592434	0.000184218069151831	0.0264810901527696
AT4G25410	916.270702801138	-1.34182129616234	0.274509966504685	-4.88806039812563	1.01834291386193e-06	0.00063909711016052
AT4G27670	894.72588023575	-1.48582233839197	0.400776312865074	-3.70736066652769	0.000209430575721277	0.0283624112836009
AT4G28420	324.96306867685	-1.15858780004088	0.217278947779069	-5.33225980649971	9.69980252714731e-08	0.000131360852013699
AT4G31870	514.741578225214	-1.77198436039599	0.453673629900861	-3.90585708228889	9.38919953419347e-05	0.0171342902988888
AT4G32490	180.437416619638	-1.42750145015889	0.350764890865943	-4.06968167947132	4.70774159404463e-05	0.0110897507672944
AT4G32500	514.314050616356	-1.10125122590357	0.317428760823803	-3.46928622045956	0.000521843186524995	0.0478053031812951
AT4G32510	307.975535599041	-1.07519442554475	0.308549050637075	-3.48467909178379	0.000492727598295779	0.0462714373421485
AT4G37800	6259.05027128143	1.15049133102613	0.293748252943936	3.91658952690252	8.98104730224327e-05	0.0165774636985009
